appid	score	num_tags	total_tag_votes	name	release_date	positive_reviews	total_reviews	review_rating	rec_flag
1117020	3.0708514972276673	5	89	BoltHalt	Sep 2019	0	0	0.0	1
1099910	2.932145304127577	9	151	PARADISE	Dec 31, 2019	0	0	0.0	1
1103000	2.798643755634859	4	84	Qwerty's Prison	Jul 2019	0	0	0.0	1
1107920	2.7441044841375968	4	88	8bit Pigeon Hunter	Jul 17, 2019	0	0	0.0	1
1122290	2.7131255835032366	5	101	Nyanco Project	Meow Soon	0	0	0.0	1
1112330	2.6659314772323013	6	115	NORR part I: Ace Shot	Jul 2019	0	0	0.0	1
1108110	2.665673062464849	6	110	Neonoen	July 2019	0	0	0.0	1
1123340	2.625283322807427	5	95	Run! Bunny~<U+7EFF><U+7EFF><U+5C0F><U+5148><U+751F>	Aug 9, 2019	0	0	0.0	1
1120640	2.575469953089818	7	137	Kaiju Kite Attack	Oct 1, 2019	0	0	0.0	1
1109280	2.496833466131938	7	112	Back To Hell	Jul 14, 2019	0	0	0.0	1
1105780	2.44109476159618	5	105	Beat Stickman: Infinity Clones - Definitive Edition	Sep 2019	0	0	0.0	1
1119910	2.4088222453807213	8	103	JUDA	The Future	0	0	0.0	1
1100340	2.3968683743203574	6	105	Battle Droid T1	Jun 29, 2019	0	0	0.0	1
1111190	2.3712873703491595	4	85	Short Fuse	Aug 2019	0	0	0.0	1
1104170	2.3706440576524077	7	117	Cosmo Chaser	Jun 29, 2019	0	0	0.0	1
1111730	2.3612487011549783	7	98	Red Ruin	July - 2019	0	0	0.0	1
1103730	2.3465752688409793	5	100	Shing!	Q1 2020	0	0	0.0	1
1106920	2.3049173353590544	6	111	Nyanco	Jul 12, 2019	6	7	0.8571428571428571	1
1116180	2.2998511320671353	13	190	Amora Crystal	Sep 9, 2019	0	0	0.0	1
1103690	2.27695311652313	8	168	Interregnum-Alpha	Jun 28, 2019	0	0	0.0	1
1115760	2.2718523921652745	7	126	Singaria	Aug 2019	0	0	0.0	1
1103860	2.244060306439706	10	141	The Wizards - Dark Times	2020	0	0	0.0	1
1115640	2.2090103753772157	4	84	<U+82F1><U+96C4><U+7FA4><U+4FA0><U+4F20>II	Jul 16, 2019	187	206	0.9077669902912622	1
1115450	2.1892120413628753	5	105	Bastide	Nov 2019	0	0	0.0	1
1120240	2.185572364474713	7	117	Ded Inside	Jul 25, 2019	0	0	0.0	1
1102980	2.180783096384201	4	84	<U+82F1><U+96C4><U+7FA4><U+4FA0><U+4F20>	Jun 27, 2019	55	63	0.873015873015873	1
1117930	2.1737384659630505	6	122	Wonder Blade	Aug 8, 2019	0	0	0.0	1
1107170	2.155885158560994	6	128	Champions	Jul 24, 2019	0	0	0.0	1
1111990	2.1459651185180593	6	120	Einn	Jul 23, 2019	1	2	0.5	1
1105810	2.1259550107827336	7	141	Onset	December 2019	0	0	0.0	1
1112250	2.1206962002653365	4	87	Umbraseal	July 22, 2019	0	0	0.0	1
1103880	2.1046178381392684	4	84	Bullet Roulette VR	Sep 18, 2019	0	0	0.0	1
1104510	2.102786485216752	6	106	Rainbow Run	Jul 10, 2019	0	0	0.0	1
1115840	2.0965352216450053	6	113	Dungeons Again	Summer 2019	0	0	0.0	1
1119530	2.0946925486076746	5	100	ZHIVE	Jul 25, 2019	0	0	0.0	1
1108740	2.0946925486076746	5	100	Stick Em Up	Aug 5, 2019	0	0	0.0	1
1101980	2.055929347494607	4	125	<U+767D><U+77F3><U+6D32><U+5F80><U+4E8B>	Jul 18, 2019	6	29	0.20689655172413793	1
1101270	2.0522021377119697	4	84	Anime Artist	Jul 23, 2019	0	0	0.0	1
1110560	2.0514632206216286	6	126	Squad Erotica	Jul 2019	0	0	0.0	1
1111590	2.0477907965085977	15	210	Linked Mask	Coming Soon	0	0	0.0	1
1118690	2.046393328680014	5	102	Radical Gear	Jul 30, 2019	0	0	0.0	1
1110470	2.035100772362649	7	143	This Is Space	Jul 9, 2019	0	0	0.0	1
1101530	2.029400660868435	8	162	Edge of Time: Rise of the Aeus	Q3 2019	0	0	0.0	1
1107040	2.029184871376502	7	139	You Don't Have Time	Jul 30, 2019	0	0	0.0	1
1106710	2.0257773710960807	8	128	On The Verge II	Fall 2019	0	0	0.0	1
1113110	2.0212288912128624	6	126	The Stranger: Interactive Game	Jul 22, 2019	1	1	1.0	1
1121220	2.0030145678054816	7	147	Seas of Fortune	TBD	0	0	0.0	1
1104800	1.9986959595496	20	1870	CHERNOBYL HISTORY OF NUCLEAR DISASTER	Coming Soon	0	0	0.0	1
1104210	1.992107375651244	5	105	Voxel Fly	Dec 2019	0	0	0.0	1
1114690	1.9909868895816512	5	100	Arcadia: The Crystal Wars	Feb 2020	0	0	0.0	1
1099840	1.9703500243020748	13	185	1000$	Jul 19, 2019	0	0	0.0	1
1120970	1.95589406547471	6	106	Dream Keeper	Nightmares are coming soon	0	0	0.0	1
1122210	1.9472129942659673	8	168	Guns Color Pixel Art	Jul 26, 2019	0	0	0.0	1
1113390	1.92490609016786	5	108	Handy	Jul 22, 2019	2	2	1.0	1
1101850	1.9201013905566011	5	85	reD:<U+8D77><U+59CB><U+7684><U+65CB><U+8F6C><U+4E4B><U+97F3>(The beginning of the Melody)	Jul 12, 2019	1	1	1.0	1
1102500	1.9200511239189109	15	265	A Glider's Journey	Sep 2019	0	0	0.0	1
1116230	1.9187142483524726	20	320	The Story of Henry Bishop	Sep 13, 2019	0	0	0.0	1
1117120	1.913929590434869	20	276	The Cross Horror Game	Jul 2019	0	0	0.0	1
1100900	1.8922801594977303	11	151	Artifact Adventure Gaiden DX	Coming Soon	0	0	0.0	1
1118920	1.887766535314947	6	112	TrenchesWIP	Jul 21, 2019	0	0	0.0	1
1116290	1.884541314957846	6	87	Alien Escape	Jul 18, 2019	6	7	0.8571428571428571	1
1102880	1.8747107319058318	6	104	Kawaii Deathu Desu	Summer 2019	0	0	0.0	1
1107490	1.8708434457969276	12	244	The Searchers of Legends : Origin	Jul 10, 2019	1	4	0.25	1
1103430	1.8586906180339178	15	201	Detonation	Jul 8, 2019	1	1	1.0	1
1108400	1.8564467278081613	4	90	Cyberprank Girls 2077	Jul 10, 2019	6	14	0.42857142857142855	1
1104030	1.8514546769138571	7	150	Vermin Hunter	Oct 31, 2019	0	0	0.0	1
1114260	1.8375380734520892	4	85	Under What?	Jul 22, 2019	0	0	0.0	1
1111200	1.7967915402261379	5	105	Car Soccer World Cup	Aug 1, 2019	0	0	0.0	1
1103650	1.789183892254202	20	299	Commando Dog	Jul 10, 2019	0	0	0.0	1
1119110	1.78880472418812	8	171	The Creature	Aug 5, 2019	0	0	0.0	1
1109960	1.785046356366686	5	108	The Tales of Epicton Kingdom	Jul 26, 2019	0	0	0.0	1
1116670	1.7849945781805394	4	103	Simple Railroad	Sep 12, 2019	0	0	0.0	1
1113010	1.7839048582584234	20	341	Chernobyl Liquidators Simulator	Coming Soon	0	0	0.0	1
1111300	1.78249422492075	8	173	Aim for the Win	Summer 2019	0	0	0.0	1
1122170	1.7798968570343279	19	790	Mech Hunter	Coming Soon	0	0	0.0	1
1103510	1.772664432915097	8	182	<U+5F02><U+4E16><U+6C5F><U+6E56><U+5F55>(JiangHu Record  Of Another World)	Jul 18, 2019	6	8	0.75	1
1106060	1.7693499862495246	5	115	Attack it! Devil legion	Jul 2, 2019	12	14	0.8571428571428571	1
1110840	1.769113677419129	6	103	KEIKA - A Puzzle Adventure	Jul 9, 2019	1	1	1.0	1
1104630	1.7653573394623545	4	87	PixoCities		0	0	0.0	1
1110230	1.7648740513235346	8	162	<U+9999><U+5C71>31<U+53F7>	Jul 29, 2019	0	0	0.0	1
1105410	1.760252323872523	8	169	Shine's Adventures 2 (Zombie Attack)	wishlist me	0	0	0.0	1
1113380	1.7571292772081037	5	105	Deep Sea Tycoon: Diver's Paradise	Aug 1, 2019	0	0	0.0	1
1117040	1.7551333482907372	7	197	<U+6B66><U+9053><U+6230><U+59EC> - <U+5973><U+50D5>(<U+6B66><U+9053><U+6226><U+59EB> - <U+30E1><U+30A4><U+30C9> / Budo Girl War - Maid)		0	0	0.0	1
1107450	1.7495096411893787	6	124	Dreams of Solari - Chapter 1	Jul 14, 2019	2	6	0.3333333333333333	1
1100510	1.7484532865560267	9	243	Diamonds	Jun 28, 2019	85	116	0.7327586206896551	1
1107740	1.743793914133026	4	88	Pentagonal Saloon	July 2019	0	0	0.0	1
1115050	1.7407788196261125	13	184	Will You Snail?	2020	0	0	0.0	1
1106690	1.7249052418300885	6	126	<U+5DEB><U+5E08><U+8D85><U+51E1><U+8005> Legend of the wizard	Aug 2019	0	0	0.0	1
1113580	1.6941511750799263	5	106	<U+30B7><U+30CB><U+30B5><U+30AE>	Jul 24, 2019	0	0	0.0	1
1105560	1.6910365286707978	6	140	Kra-Ken		0	0	0.0	1
1109880	1.677347431109798	17	230	Just Random Squares	Q3 2019	0	0	0.0	1
1114110	1.6764535053712624	6	106	Nightmare Game (<U+5669><U+68A6><U+6E38><U+620F>)	Jul 19, 2019	0	5	0.0	1
1114430	1.6715868558581548	4	84	Ballex	Jul 2019	0	0	0.0	1
1118700	1.6708387080986395	9	118	Super Demon Boy	Jul 23, 2019	10	10	1.0	1
1113490	1.6695823051742567	5	106	River Legends: A Fly Fishing Adventure	2019	0	0	0.0	1
1116600	1.6617325229688948	6	122	Art Of Air War	07-2019	0	0	0.0	1
1122460	1.659514772041768	7	111	Alien Infection	Jul 2019	0	0	0.0	1
1121880	1.6557085031463592	8	137	Kumo	Q1 2020	0	0	0.0	1
1108600	1.653971779194422	19	255	Last Moon	Planned for 2020	0	0	0.0	1
1106150	1.6512987004037503	7	119	Yet Another Hero Story	Jul 9, 2019	3	3	1.0	1
1114530	1.6504651079708428	10	152	TTV3	Jul 18, 2019	25	28	0.8928571428571429	1
1100920	1.64808094465141	4	88	DrumMasterVR	Jun 28, 2019	3	6	0.5	1
1112580	1.6432232723627798	10	140	A pirate quartermaster	End of 2019	0	0	0.0	1
1118530	1.6430534793349167	20	303	Robo Inc Project		0	0	0.0	1
1110050	1.6410772479463585	14	210	Evan's Remains	May 2020	0	0	0.0	1
1105620	1.6365001095802005	7	177	Exertus	Jul 8, 2019	16	18	0.8888888888888888	1
1116550	1.633242032238173	9	195	Elon Simulator 2019	Jul 26, 2019	0	0	0.0	1
