appid	positive_reviews	total_reviews	last_updated
1123510	0	0	2019-07-24
1123340	0	0	2019-07-24
1123070	0	0	2019-07-24
1122980	0	0	2019-07-24
1122920	0	0	2019-07-24
1122860	0	0	2019-07-24
1122460	0	0	2019-07-24
1122290	0	0	2019-07-24
1122280	0	0	2019-07-24
1122250	0	0	2019-07-24
1122230	0	0	2019-07-24
1122210	0	0	2019-07-24
1122170	0	0	2019-07-24
1122110	0	0	2019-07-24
1121880	0	0	2019-07-24
1121290	0	0	2019-07-24
1121250	0	0	2019-07-24
1121220	0	0	2019-07-24
1121120	0	0	2019-07-24
1120970	0	0	2019-07-24
1120950	0	0	2019-07-24
1120800	0	0	2019-07-24
1120790	0	0	2019-07-24
1120780	0	0	2019-07-24
1120770	0	0	2019-07-24
1120690	0	0	2019-07-24
1120640	0	0	2019-07-24
1120370	0	0	2019-07-24
1120340	0	0	2019-07-24
1120310	0	0	2019-07-24
1120240	0	0	2019-07-24
1120220	0	0	2019-07-24
1120160	0	0	2019-07-24
1120050	0	0	2019-07-24
1119940	0	0	2019-07-24
1119930	0	0	2019-07-24
1119910	0	0	2019-07-24
1119890	0	0	2019-07-24
1119870	0	0	2019-07-24
1119820	0	0	2019-07-24
1119800	0	0	2019-07-24
1119760	0	0	2019-07-24
1119740	0	0	2019-07-24
1119730	0	0	2019-07-24
1119680	0	0	2019-07-24
1119630	0	0	2019-07-24
1119540	0	0	2019-07-24
1119530	0	0	2019-07-24
1119520	0	0	2019-07-24
1119500	0	0	2019-07-24
1119430	2	2	2019-07-24
1119110	0	0	2019-07-24
1119100	0	0	2019-07-24
1119060	0	0	2019-07-24
1119020	0	0	2019-07-24
1118940	0	0	2019-07-24
1118920	0	0	2019-07-24
1118910	0	0	2019-07-24
1118870	0	0	2019-07-24
1118800	0	0	2019-07-24
1118730	0	0	2019-07-24
1118700	10	10	2019-07-24
1118690	0	0	2019-07-24
1118670	0	0	2019-07-24
1118590	0	0	2019-07-24
1118580	0	0	2019-07-24
1118530	0	0	2019-07-24
1118440	0	0	2019-07-24
1118410	0	0	2019-07-24
1118350	0	0	2019-07-24
1118310	0	0	2019-07-24
1118200	6	6	2019-07-24
1118030	0	0	2019-07-24
1117930	0	0	2019-07-24
1117900	0	0	2019-07-24
1117770	2	4	2019-07-24
1117710	0	0	2019-07-24
1117630	0	0	2019-07-24
1117620	0	0	2019-07-24
1117480	0	0	2019-07-24
1117470	0	0	2019-07-24
1117340	0	0	2019-07-24
1117310	0	0	2019-07-24
1117220	0	0	2019-07-24
1117210	0	0	2019-07-24
1117120	0	0	2019-07-24
1117040	0	0	2019-07-24
1117020	0	0	2019-07-24
1116990	1	1	2019-07-24
1116910	0	0	2019-07-24
1116890	0	0	2019-07-24
1116880	0	0	2019-07-24
1116810	0	0	2019-07-24
1116750	0	0	2019-07-24
1116710	0	0	2019-07-24
1116700	0	0	2019-07-24
1116670	0	0	2019-07-24
1116660	0	0	2019-07-24
1116600	0	0	2019-07-24
1116550	0	0	2019-07-24
1116520	0	0	2019-07-24
1116500	0	0	2019-07-24
1116470	0	0	2019-07-24
1116430	0	0	2019-07-24
1116340	0	0	2019-07-24
1116300	0	0	2019-07-24
1116290	6	7	2019-07-24
1116230	0	0	2019-07-24
1116190	0	0	2019-07-24
1116180	0	0	2019-07-24
1116170	0	0	2019-07-24
1116030	0	0	2019-07-24
1116020	0	0	2019-07-24
1115840	0	0	2019-07-24
1115830	0	0	2019-07-24
1115820	0	0	2019-07-24
1115760	0	0	2019-07-24
1115670	0	0	2019-07-24
1115660	0	0	2019-07-24
1115650	0	0	2019-07-24
1115640	187	206	2019-07-24
1115630	0	0	2019-07-24
1115620	3	3	2019-07-24
1115570	0	1	2019-07-24
1115470	0	0	2019-07-24
1115450	0	0	2019-07-24
1115430	0	0	2019-07-24
1115420	0	0	2019-07-24
1115090	0	0	2019-07-24
1115050	0	0	2019-07-24
1115030	0	0	2019-07-24
1115020	0	0	2019-07-24
1114900	0	0	2019-07-24
1114880	0	0	2019-07-24
1114740	0	0	2019-07-24
1114730	0	0	2019-07-24
1114720	0	0	2019-07-24
1114700	0	0	2019-07-24
1114690	0	0	2019-07-24
1114650	0	0	2019-07-24
1114640	0	0	2019-07-24
1114630	0	0	2019-07-24
1114530	25	28	2019-07-24
1114480	0	0	2019-07-24
1114460	0	0	2019-07-24
1114430	0	0	2019-07-24
1114420	0	0	2019-07-24
1114360	0	0	2019-07-24
1114280	0	0	2019-07-24
1114270	0	0	2019-07-24
1114260	0	0	2019-07-24
1114230	0	0	2019-07-24
1114210	2	2	2019-07-24
1114140	0	0	2019-07-24
1114110	0	5	2019-07-24
1114050	0	0	2019-07-24
1114020	0	0	2019-07-24
1114000	5	5	2019-07-24
1113960	0	0	2019-07-24
1113940	0	0	2019-07-24
1113930	0	0	2019-07-24
1113870	0	0	2019-07-24
1113770	0	0	2019-07-24
1113730	0	0	2019-07-24
1113680	0	0	2019-07-24
1113670	0	0	2019-07-24
1113650	0	0	2019-07-24
1113620	1	5	2019-07-24
1113580	0	0	2019-07-24
1113500	0	0	2019-07-24
1113490	0	0	2019-07-24
1113400	0	0	2019-07-24
1113390	2	2	2019-07-24
1113380	0	0	2019-07-24
1113320	0	0	2019-07-24
1113310	0	0	2019-07-24
1113300	0	0	2019-07-24
1113240	0	0	2019-07-24
1113230	0	0	2019-07-24
1113210	0	0	2019-07-24
1113110	1	1	2019-07-24
1113030	0	0	2019-07-24
1113010	0	0	2019-07-24
1112960	1	2	2019-07-24
1112950	0	0	2019-07-24
1112760	0	0	2019-07-24
1112710	0	0	2019-07-24
1112670	0	0	2019-07-24
1112580	0	0	2019-07-24
1112430	0	0	2019-07-24
1112410	0	0	2019-07-24
1112400	0	0	2019-07-24
1112330	0	0	2019-07-24
1112250	0	0	2019-07-24
1112130	0	0	2019-07-24
1112010	0	0	2019-07-24
1111990	1	2	2019-07-24
1111970	0	0	2019-07-24
1111960	0	0	2019-07-24
1111930	0	0	2019-07-24
1111870	0	0	2019-07-24
1111840	0	0	2019-07-24
1111830	0	0	2019-07-24
1111810	4	9	2019-07-24
1111730	0	0	2019-07-24
1111610	0	0	2019-07-24
1111590	0	0	2019-07-24
1111540	0	0	2019-07-24
1111380	0	0	2019-07-24
1111300	0	0	2019-07-24
1111290	0	0	2019-07-24
1111210	0	0	2019-07-24
1111200	0	0	2019-07-24
1111190	0	0	2019-07-24
1111130	0	0	2019-07-24
1111120	0	0	2019-07-24
1111100	0	0	2019-07-24
1111090	0	0	2019-07-24
1111030	3	6	2019-07-24
